probe_id,GSM178746,GSM180372,GSM180373,GSM180374,GSM180375,GSM180376,GSM180377,GSM180378,GSM180379,GSM180380,GSM180381,GSM180382,GSM180383,GSM180384,GSM180385,GSM180386,GSM180387,GSM180388,GSM180389,GSM180390
204500_s_at,4686.78,960.476,1523.26,1161.34,194.269,5361.73,10318,554.92,2877.01,5029.66,403.974,3880.04,7413.8,2551.71,3771.84,1820.46,6105.41,622.391,9301.32,7872.47
204501_at,4894.3,1505.09,347.62,346.371,9484.6,303.331,734.032,461.036,515.628,420.561,715.025,1693.02,1723.15,10253.4,769.506,1456.4,536.066,2289.74,1680.21,683.199
204502_at,517.579,4472.06,795.969,451.23,4535.62,4813.54,253.467,415.807,5011.97,303.018,2310.18,652.302,905.838,347.327,3187.26,255.313,309.916,803.892,3841.82,5059.08
204503_at,4380.07,303.894,7143.32,3200.06,969.729,4550.98,325.039,6719.54,586.623,2031.59,389.546,6952.61,421.266,1507.37,4010.46,1673.77,2188.58,308.271,3632.72,3915.97
204504_s_at,439.414,2527,7247.48,425.325,1438.34,2782.62,274.307,400.44,439.706,335.277,3020.56,720.779,407.124,1878.2,441.417,4036.82,817.303,330.498,386.943,343.321
204505_s_at,305.297,923.665,502.203,8915.42,676.874,1837.31,523.07,8725.88,1909.84,864.694,944.533,9938.22,1107.22,224.096,5068.14,607.442,1297.24,471.266,1535.98,997.26
204506_at,541.326,590.743,360.298,6727.31,1760.45,1543.94,8331.25,558.183,3367.23,247.78,1706.19,671.017,2821.95,5123.06,822.68,4475.82,566.276,3811.78,2724.65,7867.58
204507_s_at,297.142,236.828,1321.36,5749.64,280.825,421.717,1748.56,297.609,278.853,254.777,496.88,4009.29,142.235,8448.5,584.147,7565.31,262.673,678.197,2437.75,5884.95
204508_s_at,391.398,274.065,2056.01,836.431,265.969,3795.14,314.164,287.904,345.054,167.847,2856.52,3482.76,756.321,270.446,318.475,1940.05,251.229,184.88,4606.43,305.502
204509_at,8514.99,384.636,620.481,1123.45,2989.9,5353.61,846.809,9438.71,4196.03,1483.61,7327.6,6014.55,3044.12,4566.04,572.002,283.202,8210.83,3603.14,6866.81,309.065
204510_at,3998.82,6519.48,7403.27,2650.18,10687.7,5193.86,576.143,689.113,3671.54,1553.39,12311.1,8397.4,666.071,1131.44,1664.27,4864.03,4456.88,1791.22,2719.42,7842.63
204511_at,5036,2107.35,480.979,256.179,4927.67,4044.32,396.295,161.701,705.914,297.387,8254.02,830.382,2081.35,1459.54,365.499,233.27,3198.59,1357.84,3511.02,263.767
204512_at,611.427,719.209,10245.6,6311.75,5939.46,3233.22,3108.18,396.991,512.898,4546.87,4403.78,2489.21,2387.26,5692.39,2351.35,812.511,6514.21,342.141,565.953,411.717
204513_s_at,5519.25,837.889,594.983,875.43,408.812,11320.5,933.013,1739.93,5256.54,2707.91,319.717,1629.64,8170.55,13711.6,3089.97,2574.23,1542.63,3416.2,8011.54,587.026
204514_at,870.902,1413.17,7724.17,1020.92,3881.26,1078,736.605,3695.27,899.585,389.789,7820.31,688.162,813.487,492.033,6223.88,1121.57,1325.22,7727.88,890.425,3880.47
204515_at,4974.6,287.525,1029.4,3585.01,897.88,220.022,4662.3,2271.18,271.567,117.504,909.893,360.152,4162.01,227.285,626.277,4604.62,435.81,174.055,8448.16,2343.21
204516_at,428.2,6313.91,216.48,374.019,2953.05,1119.95,2772.15,509.836,2873.14,1890.12,187.652,888.055,3108.38,253.65,1195.56,335.879,771.037,7724.97,8642.01,2594.26
204517_at,5917.04,382.287,1170.53,954.317,3351.16,447.616,5139.79,750.385,293.708,6761.4,2381.7,5822.99,3096.65,644.563,834.8,942.986,3867.32,6911.33,4267.49,3947.63
204518_s_at,5520.21,2510.58,1140.32,1476.65,340.829,3080.28,5248.59,486.102,2086.08,437.474,3046.3,491.738,462.354,255.194,789.924,989.998,2668.87,4362.23,2826.94,1207.7
204519_s_at,583.433,4509.18,1540.17,3176.73,479.388,1063.96,699.019,707.793,3191.48,4877.68,5134,273.173,517.877,1113.52,893.625,553.236,1459.89,2616.24,4524.07,3325.08
