logFC,AveExpr,t,P.Value,adj.P.Val,B,probe_id
-185727.1,397875.15,-3.82798466336129,0.000975899916830144,0.707694982950523,-4.59504435387947,AFFX-r2-Ec-bioB-5_at
3264.9298,2886.3156,3.82582010134853,0.00098095138961535,0.707694982950523,-4.59504441048471,210744_s_at
4083.4287,2670.75715,3.82463899436527,0.000983718677718148,0.707694982950523,-4.59504444138037,214059_at
24047.2315,13164.14815,3.79220715107216,0.00106280258140317,0.708582096822891,-4.59504529211613,214453_s_at
2711.0806,1926.6842,3.79209617256216,0.00106308373027543,0.708582096822891,-4.59504529503511,207112_s_at
-2985.7531,2137.32285,-3.78936461379114,0.00107002702339411,0.708582096822891,-4.59504536689772,229253_at
3742.7451,3636.77125,3.78668159154759,0.00107689065251095,0.708582096822891,-4.59504543751479,229416_at
-3099.1717,3051.18315,-3.77903189013696,0.00109670012273693,0.708582096822891,-4.59504563902511,201109_s_at
-193704.6,389727,-3.77704623131981,0.00110190083575053,0.708582096822891,-4.595045691373,AFFX-BioC-3_at
-3028.073,2639.2386,-3.76919448120183,0.00112270584511856,0.708582096822891,-4.59504589853442,1569194_at
4986.0098,4787.6121,3.76587986542105,0.00113160494638129,0.708582096822891,-4.59504598606693,213872_at
3454.5563,2278.27425,3.7653374849064,0.0011330677638773,0.708582096822891,-4.59504600039462,216703_at
15717.3238,14257.3631,3.76207129203338,0.00114191643592162,0.708582096822891,-4.59504608670193,203761_at
2522.4188,1768.5092,3.75507103331806,0.00116111228919451,0.708582096822891,-4.59504627183326,242717_at
-1284090,3023934,-3.74333556139159,0.00119401153330296,0.708582096822891,-4.59504658266165,AFFX-r2-Ec-bioD-3_at
5059.7841,3813.29395,3.72347895504897,0.00125178973048201,0.708582096822891,-4.59504710991601,242895_x_at
-549275.5,1047669.25,-3.71830983727462,0.0012672786688949,0.708582096822891,-4.59504724744442,AFFX-BioDn-5_at
-2592.2845,1645.35105,-3.71770310194739,0.00126910908900066,0.708582096822891,-4.59504726359444,209013_x_at
-2509.2654,1733.9864,-3.71736163352086,0.00127014039152535,0.708582096822891,-4.59504727268429,1559488_at
2974.2678,3249.5831,3.71626061400455,0.00127347133310589,0.708582096822891,-4.59504730199662,216492_at
4850.6338,4181.1031,3.7146349942546,0.00127840514882803,0.708582096822891,-4.59504734528462,232843_s_at
