probe_id,present_fraction,absent_fraction,filter_status
1552509_a_at,NA,NA,N/A_series_matrix_already_processed
1552510_at,NA,NA,N/A_series_matrix_already_processed
1552511_a_at,NA,NA,N/A_series_matrix_already_processed
1552514_at,NA,NA,N/A_series_matrix_already_processed
1552515_at,NA,NA,N/A_series_matrix_already_processed
1552516_a_at,NA,NA,N/A_series_matrix_already_processed
1552518_s_at,NA,NA,N/A_series_matrix_already_processed
1552519_at,NA,NA,N/A_series_matrix_already_processed
1552520_at,NA,NA,N/A_series_matrix_already_processed
1552521_a_at,NA,NA,N/A_series_matrix_already_processed
1552522_at,NA,NA,N/A_series_matrix_already_processed
1552523_a_at,NA,NA,N/A_series_matrix_already_processed
1552524_at,NA,NA,N/A_series_matrix_already_processed
1552526_at,NA,NA,N/A_series_matrix_already_processed
1552528_at,NA,NA,N/A_series_matrix_already_processed
1552531_a_at,NA,NA,N/A_series_matrix_already_processed
1552532_a_at,NA,NA,N/A_series_matrix_already_processed
1552535_at,NA,NA,N/A_series_matrix_already_processed
1552536_at,NA,NA,N/A_series_matrix_already_processed
1552538_a_at,NA,NA,N/A_series_matrix_already_processed
1552540_s_at,NA,NA,N/A_series_matrix_already_processed
1552541_at,NA,NA,N/A_series_matrix_already_processed
1552542_s_at,NA,NA,N/A_series_matrix_already_processed
1552543_a_at,NA,NA,N/A_series_matrix_already_processed
1552544_at,NA,NA,N/A_series_matrix_already_processed
1552546_a_at,NA,NA,N/A_series_matrix_already_processed
1552548_at,NA,NA,N/A_series_matrix_already_processed
1552549_a_at,NA,NA,N/A_series_matrix_already_processed
1552552_s_at,NA,NA,N/A_series_matrix_already_processed
1552553_a_at,NA,NA,N/A_series_matrix_already_processed
1552554_a_at,NA,NA,N/A_series_matrix_already_processed
1552555_at,NA,NA,N/A_series_matrix_already_processed
1552557_a_at,NA,NA,N/A_series_matrix_already_processed
1552558_a_at,NA,NA,N/A_series_matrix_already_processed
1552559_a_at,NA,NA,N/A_series_matrix_already_processed
1552562_at,NA,NA,N/A_series_matrix_already_processed
1552563_a_at,NA,NA,N/A_series_matrix_already_processed
1552564_at,NA,NA,N/A_series_matrix_already_processed
1552566_at,NA,NA,N/A_series_matrix_already_processed
1552568_at,NA,NA,N/A_series_matrix_already_processed
1552569_a_at,NA,NA,N/A_series_matrix_already_processed
1552570_at,NA,NA,N/A_series_matrix_already_processed
1552572_a_at,NA,NA,N/A_series_matrix_already_processed
1552573_s_at,NA,NA,N/A_series_matrix_already_processed
1552575_a_at,NA,NA,N/A_series_matrix_already_processed
1552576_at,NA,NA,N/A_series_matrix_already_processed
1552578_a_at,NA,NA,N/A_series_matrix_already_processed
1552579_a_at,NA,NA,N/A_series_matrix_already_processed
1552580_at,NA,NA,N/A_series_matrix_already_processed
1552582_at,NA,NA,N/A_series_matrix_already_processed
1552583_s_at,NA,NA,N/A_series_matrix_already_processed
1552584_at,NA,NA,N/A_series_matrix_already_processed
1552585_s_at,NA,NA,N/A_series_matrix_already_processed
1552586_at,NA,NA,N/A_series_matrix_already_processed
1552587_at,NA,NA,N/A_series_matrix_already_processed
1552588_a_at,NA,NA,N/A_series_matrix_already_processed
1552590_a_at,NA,NA,N/A_series_matrix_already_processed
1552592_at,NA,NA,N/A_series_matrix_already_processed
1552594_at,NA,NA,N/A_series_matrix_already_processed
1552596_at,NA,NA,N/A_series_matrix_already_processed
1552598_at,NA,NA,N/A_series_matrix_already_processed
1552599_at,NA,NA,N/A_series_matrix_already_processed
1552602_at,NA,NA,N/A_series_matrix_already_processed
1552604_at,NA,NA,N/A_series_matrix_already_processed
1552605_s_at,NA,NA,N/A_series_matrix_already_processed
1552607_at,NA,NA,N/A_series_matrix_already_processed
1552608_at,NA,NA,N/A_series_matrix_already_processed
1552609_s_at,NA,NA,N/A_series_matrix_already_processed
1552610_a_at,NA,NA,N/A_series_matrix_already_processed
1552611_a_at,NA,NA,N/A_series_matrix_already_processed
1552612_at,NA,NA,N/A_series_matrix_already_processed
1552613_s_at,NA,NA,N/A_series_matrix_already_processed
1552615_at,NA,NA,N/A_series_matrix_already_processed
1552616_a_at,NA,NA,N/A_series_matrix_already_processed
1552617_a_at,NA,NA,N/A_series_matrix_already_processed
1552618_at,NA,NA,N/A_series_matrix_already_processed
1552619_a_at,NA,NA,N/A_series_matrix_already_processed
1552620_at,NA,NA,N/A_series_matrix_already_processed
1552621_at,NA,NA,N/A_series_matrix_already_processed
1552622_s_at,NA,NA,N/A_series_matrix_already_processed
1552623_at,NA,NA,N/A_series_matrix_already_processed
1552625_a_at,NA,NA,N/A_series_matrix_already_processed
1552626_a_at,NA,NA,N/A_series_matrix_already_processed
1552627_a_at,NA,NA,N/A_series_matrix_already_processed
1552628_a_at,NA,NA,N/A_series_matrix_already_processed
1552629_a_at,NA,NA,N/A_series_matrix_already_processed
1552630_a_at,NA,NA,N/A_series_matrix_already_processed
1552631_a_at,NA,NA,N/A_series_matrix_already_processed
1552632_a_at,NA,NA,N/A_series_matrix_already_processed
1552633_at,NA,NA,N/A_series_matrix_already_processed
1552634_a_at,NA,NA,N/A_series_matrix_already_processed
1552637_at,NA,NA,N/A_series_matrix_already_processed
1552639_at,NA,NA,N/A_series_matrix_already_processed
1552641_s_at,NA,NA,N/A_series_matrix_already_processed
1552643_at,NA,NA,N/A_series_matrix_already_processed
1552644_a_at,NA,NA,N/A_series_matrix_already_processed
1552646_at,NA,NA,N/A_series_matrix_already_processed
1552648_a_at,NA,NA,N/A_series_matrix_already_processed
1552649_a_at,NA,NA,N/A_series_matrix_already_processed
1552651_a_at,NA,NA,N/A_series_matrix_already_processed
1552652_at,NA,NA,N/A_series_matrix_already_processed
1552656_s_at,NA,NA,N/A_series_matrix_already_processed
1552657_a_at,NA,NA,N/A_series_matrix_already_processed
1552658_a_at,NA,NA,N/A_series_matrix_already_processed
1552660_a_at,NA,NA,N/A_series_matrix_already_processed
1552661_at,NA,NA,N/A_series_matrix_already_processed
1552662_a_at,NA,NA,N/A_series_matrix_already_processed
1552663_a_at,NA,NA,N/A_series_matrix_already_processed
1552664_at,NA,NA,N/A_series_matrix_already_processed
1552665_at,NA,NA,N/A_series_matrix_already_processed
1552666_a_at,NA,NA,N/A_series_matrix_already_processed
1552667_a_at,NA,NA,N/A_series_matrix_already_processed
1552669_at,NA,NA,N/A_series_matrix_already_processed
1552670_a_at,NA,NA,N/A_series_matrix_already_processed
1552671_a_at,NA,NA,N/A_series_matrix_already_processed
1552672_a_at,NA,NA,N/A_series_matrix_already_processed
1552673_at,NA,NA,N/A_series_matrix_already_processed
